"filename", "language", "CSS", "HTML", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\pages\sitemap\index.html", "HTML", 0, 111, 0, 0, 0, 3, 114
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\pages\sitemap\style.css", "CSS", 98, 0, 0, 0, 1, 1, 100
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\pages\terms-of-use\index.html", "HTML", 0, 130, 0, 0, 0, 3, 133
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\pages\terms-of-use\style.css", "CSS", 92, 0, 0, 0, 1, 2, 95
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\resources\first-page\fonts\README.md", "Markdown", 0, 0, 0, 9, 0, 8, 17
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\resources\first-page\icons\gmail.svg", "XML", 0, 0, 38, 0, 1, 1, 40
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\resources\first-page\icons\instagram.svg", "XML", 0, 0, 63, 0, 1, 4, 68
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\resources\first-page\icons\linkedin.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\resources\first-page\icons\telegram.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\aEducational\resources\first-page\icons\twitter.svg", "XML", 0, 0, 16, 0, 1, 0, 17
"Total", "-", 2167, 1030, 119, 9, 14, 100, 3439
